using cuda:0 device.
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::conv2d         0.05%      31.623ms        66.44%       42.775s       42.775s      31.224ms         0.05%       42.774s       42.774s             1  
                aten::convolution         0.00%       1.606ms        66.39%       42.743s       42.743s       1.625ms         0.00%       42.743s       42.743s             1  
               aten::_convolution         0.23%     148.181ms        66.39%       42.742s       42.742s     147.024ms         0.23%       42.742s       42.742s             1  
                 aten::contiguous         0.00%     282.292us         0.00%     282.292us     282.292us     245.828us         0.00%     245.828us     245.828us             1  
          aten::cudnn_convolution        65.22%       41.986s        65.65%       42.267s       42.267s       42.267s        65.89%       42.269s       42.269s             1  
                      aten::empty         0.00%     375.468us         0.00%     375.468us     375.468us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.00%     361.302us         0.00%     361.302us     361.302us     340.531us         0.00%     340.531us     340.531us             1  
                    aten::resize_         0.06%      38.057ms         0.06%      38.057ms      38.057ms       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.00%       1.567ms         0.00%       1.567ms       1.567ms       1.433ms         0.00%       1.433ms       1.433ms             1  
                    aten::resize_         0.00%     568.281us         0.00%     568.281us     568.281us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.08%      53.216ms         0.08%      53.216ms      53.216ms       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       2.969us         0.00%       2.969us       2.969us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.250us         0.00%       1.250us       1.250us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.458us         0.00%       1.458us       1.458us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.29%     187.400ms         0.29%     187.400ms     187.400ms       0.000us         0.00%       0.000us       0.000us             1  
                    aten::reshape         0.00%     322.031us         0.07%      42.293ms      42.293ms      41.672ms         0.06%      41.672ms      41.672ms             1  
                       aten::view         0.07%      41.971ms         0.07%      41.971ms      41.971ms       0.000us         0.00%       0.000us       0.000us             1  
                       aten::add_         0.44%     283.659ms         0.44%     283.659ms     283.659ms     283.628ms         0.44%     283.628ms     283.628ms             1  
                       aten::relu         0.03%      20.202ms         0.26%     165.573ms     165.573ms      19.284ms         0.03%     166.000ms     166.000ms             1  
                  aten::threshold         0.12%      74.590ms         0.23%     145.372ms     145.372ms     146.716ms         0.23%     146.716ms     146.716ms             1  
                      aten::empty         0.11%      70.781ms         0.11%      70.781ms      70.781ms       0.000us         0.00%       0.000us       0.000us             1  
                 aten::max_pool2d         0.00%       1.192ms         0.22%     141.235ms     141.235ms      40.000us         0.00%     142.544ms     142.544ms             1  
